School                                 Year     Words.per.minute
1      								   7        32
1      								   7        51
1      								   7        65
1      								   7        60
1      								   8        65
1      								   8        58
1      								   8        70
1      								   8        55
1      								   9        43
1      								   9        55
1      								   9        60
1      								   9        41
1      								   10       65
1      								   10       55
1      								   11       47
1      								   12       60
2						               7        55
2						               7        60
2						               7        75
2						               7        63
2						               8        60
2						               8        70
2						               8        75
2						               8        70
2						               9        61
2						               9        72
2						               9        73
2						               9        65
2						               10       82
2						               10       50
2						               10       60
2						               10       70
3   		                           7        52
3   		                           7        52
3   		                           7        70
3   		                           7        55
3   		                           8        65
3   		                           8        60
3   		                           8        67
3   		                           8        60
3   		                           9        60
3   		                           9        62
3   		                           9        63
3   		                           9        65
3   		                           10       75
3   		                           10       51
3   		                           10       50
3   		                           10       63
