obs,zip,age,bed,bath,size,lot,exter,garage,fp,price
1,3,21,3,3,951,64904,other,0,0,30000
2,3,21,3,2,1036,217800,frame,0,0,39900
3,4,7,1,1,676,54450,other,2,0,46500
4,3,6,3,2,1456,51836,other,0,1,48600
5,1,51,3,1,1186,10857,other,1,0,51500
6,2,19,3,2,1456,40075,frame,0,0,56990
7,3,8,3,2,1368,NA,frame,0,0,59900
8,4,27,3,1,994,11016,frame,1,0,62500
9,1,51,2,1,1176,6259,frame,1,1,65500
10,3,1,3,2,1216,11348,other,0,0,69000
11,4,32,3,2,1410,25450,brick,0,0,76900
12,3,2,3,2,1344,NA,other,0,1,79000
13,3,25,2,2,1064,218671,other,0,0,79900
14,1,31,3,1.5,1770,19602,brick,0,1,79950
15,4,29,3,2,1524,12720,brick,2,1,82900
16,3,16,3,2,1750,130680,frame,0,0,84900
17,3,20,3,2,1152,104544,other,2,0,85000
18,3,18,4,2,1770,10640,other,0,0,87900
19,4,28,3,2,1624,12700,brick,2,1,89900
20,2,27,3,2,1540,5679,brick,2,1,89900
21,1,8,3,2,1532,6900,brick,2,1,93500
22,4,19,3,2,1647,6900,brick,2,0,94900
23,2,3,3,2,1344,43560,other,1,0,95800
24,4,5,3,2,1550,6575,brick,2,1,98500
25,4,5,4,2,1752,8193,brick,2,0,99500
26,4,27,3,1.5,1450,11300,brick,1,1,99900
27,4,33,2,2,1312,7150,brick,0,1,102000
28,1,4,3,2,1636,6097,brick,1,0,106000
29,4,0,3,2,1500,NA,brick,2,0,108900
30,2,36,3,2.5,1800,83635,brick,2,1,109900
31,3,5,4,2.5,1972,7667,brick,2,0,110000
32,3,0,3,2,1387,NA,brick,2,0,112290
33,4,27,4,2,2082,13500,brick,3,1,114900
34,3,15,3,2,NA,269549,frame,0,0,119500
35,4,23,4,2.5,2463,10747,brick,2,1,119900
36,4,25,3,2,2572,7090,brick,2,1,119900
37,4,24,4,2,2113,7200,brick,2,1,122900
38,4,1,3,2.5,2016,9000,brick,2,1,123938
39,1,34,3,2,1852,13500,brick,2,0,124900
40,4,26,4,2,2670,9158,brick,2,1,126900
41,2,26,3,2,2336,5408,brick,0,1,129900
42,4,31,3,2,1980,8325,brick,2,1,132900
43,2,24,4,2.5,2483,10295,brick,2,1,134900
44,2,29,5,2.5,2809,15927,brick,2,1,135900
45,4,21,3,2,2036,16910,brick,2,1,139500
46,3,10,3,2,2298,10950,brick,2,1,139990
47,4,3,3,2,2038,7000,brick,2,0,144900
48,2,9,3,2.5,2370,10796,brick,2,1,147600
49,2,29,5,3.5,2921,11992,brick,2,1,149990
50,2,8,3,2,2262,NA,brick,2,1,152550
51,4,7,3,3,2456,NA,brick,2,1,156900
52,4,1,4,2,2436,52000,brick,2,1,164000
53,3,27,3,2,1920,226512,frame,4,1,167500
54,4,5,3,2.5,2949,11950,brick,2,1,169900
55,2,32,4,3.5,3310,10500,brick,2,1,175000
56,4,29,3,3,2805,16500,brick,2,1,179000
57,4,1,3,3,2553,8610,brick,2,1,179900
58,4,1,3,2,2510,NA,other,2,1,189500
59,4,33,3,4,3627,17760,brick,3,1,199000
60,2,25,4,2.5,3056,10400,other,2,1,216000
61,3,16,3,2.5,3045,168576,brick,3,1,229900
62,4,2,4,4.5,3253,54362,brick,3,2,285000
63,2,2,4,3.5,4106,44737,brick,3,1,328900
64,4,0,3,2.5,2993,NA,brick,2,1,313685
65,4,0,3,2.5,2992,14500,other,3,1,327300
66,4,20,4,3,3055,250034,brick,3,0,349900
67,4,18,5,4,3846,23086,brick,4,3,370000
68,4,3,4,4.5,3314,43734,brick,3,1,380000
69,4,5,4,3.5,3472,130723,brick,2,2,395000
